PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,player_id
949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,1976-12-11T00:00:00,California,USA,California/USA,6-9,245,13,3,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996,2007,N,Y,Y,1996,1,3,N,949
724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190,8,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995,2004,N,Y,Y,1995,1,29,N,724
2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27T00:00:00,Villanova,USA,Villanova/USA,6-10,255,11,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001,2010,N,Y,Y,Undrafted,Undrafted,Undrafted,N,2124
951,Ray,Allen,Ray Allen,"Allen, Ray",R. Allen,ray-allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,6-5,205,18,34,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,ray_allen,1996,2013,N,Y,Y,1996,1,5,Y,951
2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213,14,,Guard-Forward,Inactive,N,0,,,,,tony_allen,2004,2017,N,Y,Y,2004,1,25,N,2754
1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24T00:00:00,Fresno State,USA,Fresno State/USA,6-2,175,11,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999,2009,Y,Y,Y,1998,2,39,N,1747
2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07T00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245,15,,Forward-Center,Inactive,N,0,,,,,chris_andersen,2001,2016,N,Y,Y,Undrafted,Undrafted,Undrafted,N,2365
1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,1974-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-5,195,12,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997,2007,N,Y,Y,1997,1,13,N,1507
1000,Shandon,Anderson,Shandon Anderson,"Anderson, Shandon",S. Anderson,shandon-anderson,1973-12-31T00:00:00,Georgia,USA,Georgia/USA,6-6,215,10,49,Guard-Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,shandon_anderson,1996,2005,N,Y,Y,1996,2,54,N,1000
2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,6-7,238,20,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003,2021,N,Y,Y,2003,1,3,Y,2546
2737,Rafael,Araujo,Rafael Araujo,"Araujo, Rafael",R. Araujo,rafael-araujo,1980-08-12T00:00:00,Brigham Young,Brazil,Brigham Young/Brazil,6-11,270,4,55,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,rafael_araujo,2004,2006,N,Y,Y,2004,1,8,N,2737
2240,Gilbert,Arenas,Gilbert Arenas,"Arenas, Gilbert",G. Arenas,gilbert-arenas,1982-01-06T00:00:00,Arizona,USA,Arizona/USA,6-4,215,12,10,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,gilbert_arenas,2001,2011,N,Y,Y,2001,2,30,N,2240
2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30T00:00:00,UCLA,USA,UCLA/USA,6-8,215,18,,Forward,Inactive,N,0,,,,,trevor_ariza,2004,2021,N,Y,Y,2004,2,43,N,2772
353,Darrell,Armstrong,Darrell Armstrong,"Armstrong, Darrell",D. Armstrong,darrell-armstrong,1968-06-22T00:00:00,Fayetteville State,USA,Fayetteville State/USA,6-1,180,15,10,Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,darrell_armstrong,1994,2007,N,Y,Y,Undrafted,Undrafted,Undrafted,N,353
2306,Carlos,Arroyo,Carlos Arroyo,"Arroyo, Carlos",C. Arroyo,carlos-arroyo,1979-07-30T00:00:00,Florida International,Puerto Rico,Florida International/Puerto Rico,6-2,200,10,45,Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,carlos_arroyo,2001,2010,N,Y,Y,Undrafted,Undrafted,Undrafted,N,2306
1088,Chucky,Atkins,Chucky Atkins,"Atkins, Chucky",C. Atkins,chucky-atkins,1974-08-14T00:00:00,South Florida,USA,South Florida/USA,5-11,185,12,17,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,chucky_atkins,1999,2009,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1088
278,Stacey,Augmon,Stacey Augmon,"Augmon, Stacey",S. Augmon,stacey-augmon,1968-08-01T00:00:00,UNLV,USA,UNLV/USA,6-8,213,16,2,Forward-Guard,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,stacey_augmon,1991,2005,N,Y,Y,1991,1,9,N,278
452,Vin,Baker,Vin Baker,"Baker, Vin",V. Baker,vin-baker,1971-11-23T00:00:00,Hartford,USA,Hartford/USA,6-11,240,13,34,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,vin_baker,1993,2005,N,Y,Y,1993,1,8,N,452
2556,Marcus,Banks,Marcus Banks,"Banks, Marcus",M. Banks,marcus-banks,1981-11-19T00:00:00,UNLV,USA,UNLV/USA,6-2,205,9,15,Guard,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,marcus_banks,2003,2010,Y,Y,Y,2003,1,13,N,2556
2571,Leandro,Barbosa,Leandro Barbosa,"Barbosa, Leandro",L. Barbosa,leandro-barbosa,1982-11-28T00:00:00,Bauru,Brazil,Bauru/Brazil,6-3,194,15,19,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,leandro_barbosa,2003,2016,N,Y,Y,2003,1,28,N,2571
2857,Andre,Barrett,Andre Barrett,"Barrett, Andre",A. Barrett,andre-barrett,1982-02-21T00:00:00,Seton Hall,USA,Seton Hall/USA,5-10,173,5,,Guard,Inactive,N,0,,,,,andre_barrett,2004,2007,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,2857
699,Brent,Barry,Brent Barry,"Barry, Brent",B. Barry,brent-barry,1971-12-31T00:00:00,Oregon State,USA,Oregon State/USA,6-7,210,15,17,Guard,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,brent_barry,1995,2008,N,Y,Y,1995,1,15,N,699
468,Jon,Barry,Jon Barry,"Barry, Jon",J. Barry,jon-barry,1969-07-25T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-5,210,14,,Guard,Inactive,N,0,,,,,jon_barry,1992,2005,N,Y,Y,1992,1,21,N,468
1499,Tony,Battie,Tony Battie,"Battie, Tony",T. Battie,tony-battie,1976-02-11T00:00:00,Texas Tech,USA,Texas Tech/USA,6-11,240,15,4,Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,tony_battie,1997,2011,N,Y,Y,1997,1,5,N,1499
2203,Shane,Battier,Shane Battier,"Battier, Shane",S. Battier,shane-battier,1978-09-09T00:00:00,Duke,USA,Duke/USA,6-8,220,13,31,Forward,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,shane_battier,2001,2013,N,Y,Y,2001,1,6,N,2203
1952,Raja,Bell,Raja Bell,"Bell, Raja",R. Bell,raja-bell,1976-09-19T00:00:00,Florida International,US Virgin Islands,Florida International/U.S. Virgin Islands,6-5,210,13,19,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,raja_bell,2000,2011,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1952
696,Travis,Best,Travis Best,"Best, Travis",T. Best,travis-best,1972-07-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,5-11,182,11,6,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,travis_best,1995,2004,N,Y,Y,1995,1,23,N,696
1710,Mike,Bibby,Mike Bibby,"Bibby, Mike",M. Bibby,mike-bibby,1978-05-13T00:00:00,Arizona,USA,Arizona/USA,6-2,195,15,20,Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,mike_bibby,1998,2011,N,Y,Y,1998,1,2,N,1710
2740,Andris,Biedrins,Andris Biedrins,"Biedrins, Andris",A. Biedrins,andris-biedrins,1986-04-02T00:00:00,BK Skonto,Latvia,BK Skonto/Latvia,7-0,250,10,,Center,Inactive,N,0,,,,,andris_biedrins,2004,2013,N,Y,Y,2004,1,11,N,2740
1497,Chauncey,Billups,Chauncey Billups,"Billups, Chauncey",C. Billups,chauncey-billups,1976-09-25T00:00:00,Colorado,USA,Colorado/USA,6-3,210,17,1,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,chauncey_billups,1997,2013,N,Y,Y,1997,1,3,N,1497
2581,Steve,Blake,Steve Blake,"Blake, Steve",S. Blake,steve-blake,1980-02-26T00:00:00,Maryland,USA,Maryland/USA,6-3,172,14,22,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,steve_blake,2003,2015,N,Y,Y,2003,2,38,N,2581
1548,Mark,Blount,Mark Blount,"Blount, Mark",M. Blount,mark-blount,1975-11-30T00:00:00,Pittsburgh,USA,Pittsburgh/USA,7-0,250,10,15,Center-Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,mark_blount,2000,2008,N,Y,Y,1997,2,54,N,1548
2586,Keith,Bogans,Keith Bogans,"Bogans, Keith",K. Bogans,keith-bogans,1980-05-12T00:00:00,Kentucky,USA,Kentucky/USA,6-5,215,11,4,Guard-Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,keith_bogans,2003,2013,Y,Y,Y,2003,2,43,N,2586
2588,Matt,Bonner,Matt Bonner,"Bonner, Matt",M. Bonner,matt-bonner,1980-04-05T00:00:00,Florida,USA,Florida/USA,6-10,235,13,15,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,matt_bonner,2004,2015,N,Y,Y,2003,2,45,N,2588
1916,Calvin,Booth,Calvin Booth,"Booth, Calvin",C. Booth,calvin-booth,1976-05-07T00:00:00,Penn State,USA,Penn State/USA,6-11,230,11,52,Center,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,calvin_booth,1999,2008,N,Y,Y,1999,2,35,N,1916
2414,Curtis,Borchardt,Curtis Borchardt,"Borchardt, Curtis",C. Borchardt,curtis-borchardt,1980-09-13T00:00:00,Stanford,USA,Stanford/USA,7-0,242,3,22,Center,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,curtis_borchardt,2002,2004,N,Y,Y,2002,1,18,N,2414
2547,Chris,Bosh,Chris Bosh,"Bosh, Chris",C. Bosh,chris-bosh,1984-03-24T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-11,235,14,1,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,chris_bosh,2003,2016,N,Y,Y,2003,1,4,N,2547
1477,Bruce,Bowen,Bruce Bowen,"Bowen, Bruce",B. Bowen,bruce-bowen,1971-06-14T00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,6-7,200,14,12,Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,bruce_bowen,1996,2008,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1477
1763,Ryan,Bowen,Ryan Bowen,"Bowen, Ryan",R. Bowen,ryan-bowen,1975-11-20T00:00:00,Iowa,USA,Iowa/USA,6-9,218,10,,Forward,Inactive,N,0,,,,,ryan_bowen,1999,2009,N,Y,Y,1998,2,55,N,1763
1863,Earl,Boykins,Earl Boykins,"Boykins, Earl",E. Boykins,earl-boykins,1976-06-02T00:00:00,Eastern Michigan,USA,Eastern Michigan/USA,5-5,133,14,6,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,earl_boykins,1998,2011,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1863
2214,Michael,Bradley,Michael Bradley,"Bradley, Michael",M. Bradley,michael-bradley,1979-04-18T00:00:00,Villanova,USA,Villanova/USA,6-10,245,5,5,Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,michael_bradley,2001,2005,N,Y,Y,2001,1,17,N,2214
762,Shawn,Bradley,Shawn Bradley,"Bradley, Shawn",S. Bradley,shawn-bradley,1972-03-22T00:00:00,Brigham Young,USA,Brigham Young/USA,7-6,275,13,44,Center,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,shawn_bradley,1993,2004,N,Y,Y,1993,1,2,N,762
1765,Torraye,Braggs,Torraye Braggs,"Braggs, Torraye",T. Braggs,torraye-braggs,1976-05-15T00:00:00,Xavier,USA,Xavier/USA,6-8,245,3,32,Forward,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,torraye_braggs,2003,2004,Y,Y,Y,1998,2,57,N,1765
1882,Elton,Brand,Elton Brand,"Brand, Elton",E. Brand,elton-brand,1979-03-11T00:00:00,Duke,USA,Duke/USA,6-9,254,18,42,Forward,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,elton_brand,1999,2015,N,Y,Y,1999,1,1,N,1882
2056,Primoz,Brezec,Primoz Brezec,"Brezec, Primoz",P. Brezec,primoz-brezec,1979-10-02T00:00:00,Union Olimpija,Slovenia,Union Olimpija/Slovenia,7-1,255,9,9,Center,Inactive,N,1610612766,Bobcats,CHA,hornets,Charlotte,primoz_brezec,2001,2009,N,Y,Y,2000,1,27,N,2056
2484,Devin,Brown,Devin Brown,"Brown, Devin",D. Brown,devin-brown,1978-12-30T00:00:00,Texas-San Antonio,USA,Texas-San Antonio/USA,6-5,210,9,32,Guard,Inactive,N,1610612740,Hornets,NOH,pelicans,New Orleans,devin_brown,2002,2009,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,2484
2198,Kwame,Brown,Kwame Brown,"Brown, Kwame",K. Brown,kwame-brown,1982-03-10T00:00:00,Glynn Academy HS (GA),USA,Glynn Academy HS (GA)/USA,6-11,290,13,54,Center,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,kwame_brown,2001,2012,N,Y,Y,2001,1,1,N,2198
136,P.J.,Brown,P.J. Brown,"Brown, P.J.",P. Brown,pj-brown,1969-10-14T00:00:00,Louisiana Tech,USA,Louisiana Tech/USA,6-11,239,16,93,Forward-Center,Inactive,N,1610612740,Hornets,NOK,pelicans,New Orleans/Oklahoma City,p.j._brown,1993,2007,N,Y,Y,1992,2,29,N,136
1594,Rick,Brunson,Rick Brunson,"Brunson, Rick",R. Brunson,rick-brunson,1972-06-14T00:00:00,Temple,USA,Temple/USA,6-4,190,9,9,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,rick_brunson,1997,2005,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1594
977,Kobe,Bryant,Kobe Bryant,"Bryant, Kobe",K. Bryant,kobe-bryant,1978-08-23T00:00:00,Lower Merion HS (PA),USA,Lower Merion HS (PA)/USA,6-6,212,20,24,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kobe_bryant,1996,2015,N,Y,Y,1996,1,13,Y,977
1761,Greg,Buckner,Greg Buckner,"Buckner, Greg",G. Buckner,greg-buckner,1976-09-16T00:00:00,Clemson,USA,Clemson/USA,6-4,210,11,7,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,greg_buckner,1999,2008,N,Y,Y,1998,2,53,N,1761
1934,Rodney,Buford,Rodney Buford,"Buford, Rodney",R. Buford,rodney-buford,1977-11-02T00:00:00,Creighton,USA,Creighton/USA,6-5,195,6,2,Forward-Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,rodney_buford,1999,2004,N,Y,Y,1999,2,53,N,1934
2766,Antonio,Burks,Antonio Burks,"Burks, Antonio",A. Burks,antonio-burks,1980-02-25T00:00:00,Memphis,USA,Memphis/USA,6-0,195,2,1,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,antonio_burks,2004,2005,N,Y,Y,2004,2,36,N,2766
2406,Caron,Butler,Caron Butler,"Butler, Caron",C. Butler,caron-butler,1980-03-13T00:00:00,Connecticut,USA,Connecticut/USA,6-7,228,15,31,Forward,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,caron_butler,2002,2015,N,Y,Y,2002,1,10,N,2406
2866,Jackie,Butler,Jackie Butler,"Butler, Jackie",J. Butler,jackie-butler,1985-03-10T00:00:00,Coastal Christian Academy (VA),USA,Coastal Christian Academy (VA)/USA,6-10,260,4,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,jackie_butler,2004,2006,N,Y,Y,Undrafted,Undrafted,Undrafted,N,2866
2446,Rasual,Butler,Rasual Butler,"Butler, Rasual",R. Butler,rasual-butler,1979-05-23T00:00:00,La Salle,USA,La Salle/USA,6-7,215,14,,Forward,Inactive,N,0,,,,,rasual_butler,2002,2015,Y,Y,Y,2002,2,52,N,2446
2560,Zarko,Cabarkapa,Zarko Cabarkapa,"Cabarkapa, Zarko",Z. Cabarkapa,zarko-cabarkapa,1981-05-21T00:00:00,Buducnost,Serbia,Buducnost/Serbia,6-11,230,4,11,Forward-Center,Inactive,N,1610612744,Warriors,GSW,warriors,Golden State,zarko_cabarkapa,2003,2006,N,Y,Y,2003,1,17,N,2560
948,Marcus,Camby,Marcus Camby,"Camby, Marcus",M. Camby,marcus-camby,1974-03-22T00:00:00,Massachusetts,USA,Massachusetts/USA,6-11,240,18,23,Center-Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,marcus_camby,1996,2012,N,Y,Y,1996,1,2,N,948
922,Elden,Campbell,Elden Campbell,"Campbell, Elden",E. Campbell,elden-campbell,1968-07-23T00:00:00,Clemson,USA,Clemson/USA,7-0,279,16,41,Center-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,elden_campbell,1990,2004,N,Y,Y,1990,1,27,N,922
2073,Brian,Cardinal,Brian Cardinal,"Cardinal, Brian",B. Cardinal,brian-cardinal,1977-05-02T00:00:00,Purdue,USA,Purdue/USA,6-8,240,13,35,Forward,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,brian_cardinal,2000,2011,N,Y,Y,2000,2,44,N,2073
2679,Matt,Carroll,Matt Carroll,"Carroll, Matt",M. Carroll,matt-carroll,1980-08-28T00:00:00,Notre Dame,USA,Notre Dame/USA,6-6,212,10,,Guard,Inactive,N,0,,,,,matt_carroll,2003,2012,N,Y,Y,Undrafted,Undrafted,Undrafted,N,2679
1853,Anthony,Carter,Anthony Carter,"Carter, Anthony",A. Carter,anthony-carter,1975-06-16T00:00:00,Hawaii,USA,Hawaii/USA,6-1,190,14,,Guard,Inactive,N,0,,,,,anthony_carter,1999,2011,N,Y,Y,Undrafted,Undrafted,Undrafted,N,1853
1713,Vince,Carter,Vince Carter,"Carter, Vince",V. Carter,vince-carter,1977-01-26T00:00:00,North Carolina,USA,North Carolina/USA,6-6,220,23,15,Guard-Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,vince_carter,1998,2019,N,Y,Y,1998,1,5,N,1713
208,Sam,Cassell,Sam Cassell,"Cassell, Sam",S. Cassell,sam-cassell,1969-11-18T00:00:00,Florida State,USA,Florida State/USA,6-3,185,16,28,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,sam_cassell,1993,2007,N,Y,Y,1993,1,24,N,208
1509,Kelvin,Cato,Kelvin Cato,"Cato, Kelvin",K. Cato,kelvin-cato,1974-08-26T00:00:00,Iowa State,USA,Iowa State/USA,6-11,275,11,26,Center,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,kelvin_cato,1997,2006,N,Y,Y,1997,1,15,N,1509
2763,Lionel,Chalmers,Lionel Chalmers,"Chalmers, Lionel",L. Chalmers,lionel-chalmers,1980-11-10T00:00:00,Xavier,USA,Xavier/USA,6-0,180,2,0,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,lionel_chalmers,2004,2004,N,Y,Y,2004,2,33,N,2763
2199,Tyson,Chandler,Tyson Chandler,"Chandler, Tyson",T. Chandler,tyson-chandler,1982-10-02T00:00:00,Dominguez HS (CA),USA,Dominguez HS (CA)/USA,7-0,235,20,6,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,tyson_chandler,2001,2019,N,Y,Y,2001,1,2,N,2199
384,Calbert,Cheaney,Calbert Cheaney,"Cheaney, Calbert",C. Cheaney,calbert-cheaney,1971-07-17T00:00:00,Indiana,USA,Indiana/USA,6-7,210,13,40,Guard-Forward,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,calbert_cheaney,1993,2005,N,Y,Y,1993,1,6,N,384
2735,Josh,Childress,Josh Childress,"Childress, Josh",J. Childress,josh-childress,1983-06-20T00:00:00,Stanford,USA,Stanford/USA,6-8,210,9,,Forward-Guard,Inactive,N,0,,,,,josh_childress,2004,2013,Y,Y,Y,2004,1,6,N,2735
2043,Mateen,Cleaves,Mateen Cleaves,"Cleaves, Mateen",M. Cleaves,mateen-cleaves,1977-09-07T00:00:00,Michigan State,USA,Michigan State/USA,6-2,210,7,,Guard,Inactive,N,0,,,,,mateen_cleaves,2000,2005,Y,Y,Y,2000,1,14,N,2043
2044,Jason,Collier,Jason Collier,"Collier, Jason",J. Collier,jason-collier,1977-09-08T00:00:00,Georgia Tech,USA,Georgia Tech/USA,7-0,260,6,40,Center,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,jason_collier,2000,2004,N,Y,Y,2000,1,15,N,2044
2260,Jarron,Collins,Jarron Collins,"Collins, Jarron",J. Collins,jarron-collins,1978-12-02T00:00:00,Stanford,USA,Stanford/USA,6-11,249,10,,Center,Inactive,N,0,,,,,jarron_collins,2001,2010,N,Y,Y,2001,2,52,N,2260
2215,Jason,Collins,Jason Collins,"Collins, Jason",J. Collins,jason-collins,1978-12-02T00:00:00,Stanford,USA,Stanford/USA,7-0,255,13,98,Center,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,jason_collins,2001,2013,N,Y,Y,2001,1,18,N,2215
2555,Nick,Collison,Nick Collison,"Collison, Nick",N. Collison,nick-collison,1980-10-26T00:00:00,Kansas,USA,Kansas/USA,6-10,255,15,4,Forward-Center,Inactive,N,1610612760,Thunder,OKC,thunder,Oklahoma City,nick_collison,2003,2017,N,Y,Y,2003,1,12,N,2555
2567,Brian,Cook,Brian Cook,"Cook, Brian",B. Cook,brian-cook,1980-12-04T00:00:00,Illinois,USA,Illinois/USA,6-9,250,10,43,Center-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,brian_cook,2003,2011,N,Y,Y,2003,1,24,N,2567
2241,Omar,Cook,Omar Cook,"Cook, Omar",O. Cook,omar-cook,1982-01-28T00:00:00,St. John's (NY),USA,St. John's (NY)/USA,6-1,190,3,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,omar_cook,2001,2004,N,Y,Y,2001,2,31,N,2241
2037,Jamal,Crawford,Jamal Crawford,"Crawford, Jamal",J. Crawford,jamal-crawford,1980-03-20T00:00:00,Michigan,USA,Michigan/USA,6-5,200,21,1,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,LA,jamal_crawford,2000,2019,N,Y,Y,2000,1,8,N,2037
